Ano,Preco_Venda,N_Venda,Aluguel_Mensal,N_Aluguel,Aluguel_Anual
1835,272.1,57.0,15.0,2.0,180.0
1836,291.4,56.0,16.5,2.5,198.0
1837,310.7,55.0,18.0,3.0,216.0
1838,302.6,53.0,16.25,3.25,195.0
1839,294.5,51.0,14.5,3.5,174.0
1840,327.15,45.5,12.75,3.75,153.0
1841,359.8,40.0,11.0,4.0,132.0
1842,366.03333333333336,40.0,11.9,3.6666666666666665,142.79999999999998
1843,372.26666666666665,40.0,12.799999999999999,3.3333333333333335,153.6
1844,378.5,40.0,13.7,3.0,164.39999999999998
1845,369.7,35.0,12.3,9.0,147.60000000000002
1846,368.04999999999995,45.0,11.4,10.5,136.8
1847,366.4,55.0,10.5,12.0,126.0
1848,352.6,57.5,12.1,15.0,145.2
1849,338.8,60.0,13.7,18.0,164.39999999999998
1850,320.0,16.0,13.35,63.0,160.2
1851,448.6,80.0,13.0,108.0,156.0
1852,694.0,72.0,18.6,122.0,223.20000000000002
1853,806.5,69.0,18.4,110.0,220.79999999999998
1854,668.8,43.0,19.6,137.0,235.20000000000002
1855,811.1,62.0,19.1,117.0,229.20000000000002
1856,874.4,80.0,20.8,109.0,249.60000000000002
1857,1006.4,66.0,23.7,109.0,284.4
1858,1151.5,73.0,23.4,117.0,280.79999999999995
1859,1090.3,78.0,25.1,96.0,301.20000000000005
1860,1016.5,111.0,25.0,70.0,300.0
1861,938.5,92.0,26.1,97.0,313.20000000000005
1862,1007.2,81.0,26.4,77.0,316.79999999999995
1863,900.0,116.0,24.0,85.0,288.0
1864,1031.9,126.0,24.2,63.0,290.4
1865,896.6,97.0,24.3,86.0,291.6
1866,797.1,82.0,24.5,80.0,294.0
1867,768.5,66.0,23.9,88.0,286.79999999999995
1868,859.5,113.0,24.0,65.0,288.0
1869,931.6,103.0,24.5,52.0,294.0
1870,1007.9,177.0,26.9,130.0,322.79999999999995
1871,815.8,99.0,25.9,42.0,310.79999999999995
1872,859.2,254.0,24.2,46.0,290.4
1873,975.7,297.0,31.0,102.0,372.0
1874,958.5,105.0,32.7,117.0,392.40000000000003
1875,1028.3,184.0,32.0,102.0,384.0
1876,1025.7,111.0,30.5,99.0,366.0
1877,1093.5,124.0,29.5,85.0,354.0
1878,932.4,83.0,29.7,89.0,356.4
1879,1035.1,154.0,28.4,89.0,340.79999999999995
1880,893.2,73.0,29.0,82.0,348.0
1881,917.8,45.0,26.6,172.0,319.20000000000005
1882,607.9,42.0,27.2,189.0,326.4
1883,550.0,10.0,27.2,235.0,326.4
1884,584.4,16.0,26.6,242.0,319.20000000000005
1885,796.7,6.0,26.9,237.0,322.79999999999995
1886,325.0,2.0,26.7,235.0,320.4
1887,450.0,6.0,27.9,229.0,334.79999999999995
1888,450.0,6.0,28.7,99.0,344.4
