Ano,Indice_Lobo
1850,372.6422
1851,340.8492
1852,394.1658
1853,685.7012
1854,892.3898
1855,883.3513
1856,1094.4958
1857,1120.1586
1858,1096.1784
1859,1300.2231
1860,1310.0849
1861,1065.7744
1862,860.0358
1863,804.4201
1864,906.7189
1865,1065.9863
1866,1399.7011
1867,1326.5136
1868,1437.1464
1869,1820.6601
1870,1676.9013
1871,1443.7624
1872,1557.7368
1873,1515.8703
1874,2023.5769
1875,1713.6716
1876,1942.562
1877,2441.184
1878,2785.2021
1879,2557.0756
1880,2294.4179
1881,2346.0268
1882,2491.6108
1883,2468.896
1884,2383.4194
1885,2550.0595
1886,2297.936
1887,2315.7973
1888,2273.3413
1889,3131.7627
1890,3215.122
