Ano,Risk_Free_Rate,Risk_Free_Percent
1830,0.12,12.0
1831,0.16,16.0
1832,0.15411764705882353,15.411764705882353
1833,0.14823529411764708,14.823529411764707
1834,0.14235294117647057,14.235294117647058
1835,0.13647058823529412,13.647058823529411
1836,0.13058823529411764,13.058823529411764
1837,0.12470588235294118,12.470588235294118
1838,0.11882352941176472,11.882352941176471
1839,0.11294117647058823,11.294117647058822
1840,0.10705882352941178,10.705882352941178
1841,0.10117647058823528,10.117647058823529
1842,0.09529411764705882,9.529411764705882
1843,0.08941176470588236,8.941176470588236
1844,0.08352941176470587,8.352941176470587
1845,0.0776470588235294,7.76470588235294
1846,0.07176470588235294,7.1764705882352935
1847,0.06588235294117646,6.588235294117647
1848,0.06,6.0
1849,0.059000000000000004,5.9
1850,0.057999999999999996,5.8
1851,0.057999999999999996,5.8
1852,0.057999999999999996,5.8
1853,0.057999999999999996,5.8
1854,0.057999999999999996,5.8
1855,0.057999999999999996,5.8
1856,0.057999999999999996,5.8
1857,0.057999999999999996,5.8
1858,0.057999999999999996,5.8
1859,0.057999999999999996,5.8
1860,0.057999999999999996,5.8
1861,0.057999999999999996,5.8
1862,0.057999999999999996,5.8
1863,0.057999999999999996,5.8
1864,0.06408,6.4079999999999995
1865,0.07016,7.016
1866,0.07624,7.624
1867,0.08231999999999999,8.232
1868,0.08839999999999999,8.84
1869,0.08556,8.556
1870,0.08272,8.272
1871,0.07987999999999999,7.9879999999999995
1872,0.07704,7.704
1873,0.0742,7.42
1874,0.07136,7.136
1875,0.06852,6.852
1876,0.06568,6.568
1877,0.06284000000000001,6.284000000000001
1878,0.06,6.0
1879,0.0571,5.71
1880,0.05653333333333333,5.653333333333333
1881,0.055966666666666665,5.596666666666667
1882,0.0554,5.54
1883,0.05483333333333333,5.483333333333333
1884,0.054266666666666664,5.426666666666667
1885,0.0537,5.37
1886,0.05313333333333334,5.3133333333333335
1887,0.05256666666666667,5.256666666666667
1888,0.052000000000000005,5.2
1889,0.0512,5.12
